"subj" "trial" "cond" "Initiation Time" "Mean Gaze" "Nr. Fixation" "Mean Saccade" "Entropy" "Latency Body" "First Fixation Body" "Total Fixation Body" "Mean Gaze Body" "Proportion Fixation Body" "Latency Object" "First Fixation Object" "Total Fixation Object" "Mean Gaze Object" "Proportion Fixation Object" "Latency Face" "First Fixation Face" "Total Fixation Face" "Mean Gaze Face" "Proportion Fixation Face" "Task" "Saliency" "Turbulence" "Complexity" "Clutter" "Feature Congestion" "Fixation Area"
2 3 4 282 212.736842105263 19 202.391059670282 11.2660475795251 4052 122 604 302 0.149 8 274 3316 207.25 0.82 3900 122 122 122 0.03 "Search" 231.263298421053 11.692076229432 0.618611899595356 "Clu" 4.241852 2.95203010823939
3 3 4 198 180.461538461538 78 485.501977819924 12.0694930632077 2248 366 586 195.333 0.042 8 190 13490 179.867 0.958 0 0 0 0 0 "Search" 199.246775142857 29.3201081067819 0.401087881589529 "Clu" 4.241852 13.4624006807377
7 3 4 378 244.24 25 134.559786290533 11.4845499918201 416 174 566 188.667 0.093 8 370 5438 258.952 0.891 6996 102 102 102 0.017 "Search" 229.742774 12.7126050888182 0.550420044315275 "Clu" 4.241852 3.29743732435901
11 3 4 194 187 16 195.566583713705 11.5764382771656 2296 206 368 184 0.123 8 186 2624 187.429 0.877 0 0 0 0 0 "Search" 203.4391 9.09174706619476 0.564962784496589 "Clu" 4.241852 2.81868969773987
15 3 4 138 186.222222222222 18 180.856227992743 11.7787732860994 428 154 396 198 0.118 8 130 2956 184.75 0.882 0 0 0 0 0 "Search" 203.385279444444 10.949980891839 0.619028141449064 "Clu" 4.241852 3.09131208263817
19 3 4 374 201.5 24 274.199360921802 11.9179746584873 1484 238 534 178 0.11 44 330 4080 204 0.844 668 222 222 222 0.046 "Search" 199.137867272727 16.4276549619174 0.675696005073896 "Clu" 4.241852 4.02509671685607
23 3 4 446 218.75 32 145.945368597149 11.7621577086523 484 146 668 167 0.095 132 314 6332 226.143 0.905 0 0 0 0 0 "Search" 220.164493225806 17.188523135261 0.550177519504968 "Clu" 4.241852 4.92418719029971
2 4 1 34 277.2 5 327.080453830996 10.7306684399059 64 438 438 438 0.316 8 26 574 191.333 0.414 568 374 374 374 0.27 "Search" 175.6546302 2.65675690671466 0.365085685651501 "Min" 2.657324 0.880840530543708
3 4 1 222 185.5 8 212.256857183148 11.1862665114113 248 226 226 226 0.152 8 214 736 184 0.496 500 82 522 174 0.352 "Search" 187.19946125 3.73819857888814 0.360042087943547 "Min" 2.657324 1.40934484886993
7 4 1 398 237.333333333333 6 213.483437656141 10.6151777272413 0 0 0 0 0 8 390 1084 271 0.761 820 126 340 170 0.239 "Search" 241.7441105 2.97998391658585 0.336882581612738 "Min" 2.657324 1.05700863665245
11 4 1 130 172.8 10 206.732375584886 11.1240094881564 1304 154 370 123.333 0.214 8 122 694 231.333 0.402 484 178 664 166 0.384 "Search" 221.245975 5.31187582744314 0.459806248062315 "Min" 2.657324 1.68030631095062
15 4 1 110 174.5 8 181.715543015353 11.0735511254191 316 150 396 198 0.284 8 102 624 156 0.447 496 78 376 188 0.269 "Search" 176.86392925 4.66411272162154 0.471405748963214 "Min" 2.657324 1.40934484886993
19 4 1 406 270 5 339.097982779457 10.9330369488653 1472 138 138 138 0.102 8 398 624 312 0.462 448 162 588 294 0.436 "Search" 190.1740204 3.40119738166216 0.499139384643939 "Min" 2.657324 0.880840530543708
23 4 1 438 234 5 247.173060355031 10.7048137852051 468 146 426 142 0.364 8 430 430 430 0.368 852 314 314 314 0.268 "Search" 175.0660792 2.58776403522771 0.365085685651501 "Min" 2.657324 0.880840530543708
4 4 2 362 186.4 10 186.437689290517 11.2623039892129 404 98 644 161 0.345 8 354 774 258 0.415 1760 198 446 148.667 0.239 "Search" 205.9564167 5.61548685091472 0.496647510866611 "Min" 2.657324 1.52627034440783
8 4 2 62 169.555555555556 18 184.439832718478 11.5184730968362 424 122 1304 217.333 0.427 8 54 1594 144.909 0.522 1504 154 154 154 0.05 "Search" 198.339993833333 8.51456636771042 0.400372741276999 "Min" 2.657324 2.6873849067855
12 4 2 166 154 9 146.85333147989 11.1340836552218 416 134 578 192.667 0.417 8 158 808 134.667 0.583 0 0 0 0 0 "Search" 187.817727111111 5.52727730318369 0.547382827583743 "Min" 2.657324 1.58551295497867
16 4 2 414 234.774193548387 31 157.344177102046 11.2402193659495 448 134 3562 209.529 0.489 20 394 3716 265.429 0.511 0 0 0 0 0 "Search" 177.297682709677 13.7235643602774 0.432119696525705 "Min" 2.657324 3.8332194490856
20 4 2 358 235.142857142857 7 158.73028789863 10.7985855665652 0 0 0 0 0 8 350 1646 235.143 1 0 0 0 0 0 "Search" 159.514133285714 3.34089678141913 0.379270664073939 "Min" 2.657324 1.23317674276119
24 4 2 234 156 14 228.163538557732 11.4753818628672 908 142 620 155 0.284 8 226 1154 164.857 0.528 2324 154 410 136.667 0.188 "Search" 192.081942571429 6.32997862035317 0.396937195244578 "Min" 2.657324 2.38363793724774
