data,acc
e9_onlypup_holl,0.331679074
e9_onlypup_holl,0.333333333
e9_onlypup_holl,0.332506203
e9_onlypup_holl,0.333333333
e9_onlypup_holl,0.333333333
e9_onlyx_fill,0.396195203
e9_onlyx_fill,0.358974359
e9_onlyx_fill,0.334987593
e9_onlyx_fill,0.422663358
e9_onlyx_fill,0.372208437
e9_onlyx_fill,0.406947891
e9_onlyx_fill,0.424317618
e9_onlyx_fill,0.418527709
e9_onlyx_fill,0.383788254
e9_onlyx_fill,0.40612076
e9_onlyx_holl,0.405293631
e9_onlyx_holl,0.397849462
e9_onlyx_holl,0.40777502
e9_onlyx_holl,0.418527709
e9_onlyx_holl,0.400330852
e9_onlyx_holl,0.364764268
e9_onlyx_holl,0.372208437
e9_onlyx_holl,0.405293631
e9_onlyx_holl,0.399503722
e9_onlyx_holl,0.40860215
e9_onlyy_fill,0.388751034
e9_onlyy_fill,0.421836229
e9_onlyy_fill,0.405293631
e9_onlyy_fill,0.430107527
e9_onlyy_fill,0.444995864
e9_onlyy_fill,0.386269644
e9_onlyy_fill,0.41108354
e9_onlyy_fill,0.421836228
e9_onlyy_fill,0.449131514
e9_onlyy_fill,0.455748553
e9_onlyy_holl,0.425144748
e9_onlyy_holl,0.400330852
e9_onlyy_holl,0.415219189
e9_onlyy_holl,0.430107527
e9_onlyy_holl,0.418527709
e9_onlyy_holl,0.396195203
e9_onlyy_holl,0.445822995
e9_onlyy_holl,0.399503722
e9_onlyy_holl,0.436724566
e9_onlyy_holl,0.419354839
e9_6s_raw,0.580277099
e9_6s_raw,0.571312144
e9_6s_raw,0.489812551
e9_6s_raw,0.538712306
e9_6s_raw,0.561532192
e9_6s_raw,0.520782396
e9_6s_raw,0.49796251
e9_6s_raw,0.571312144
e9_6s_raw,0.556642217
e9_6s_raw,0.486552567
e9_nopup_raw,0.55012225
e9_nopup_raw,0.564792176
e9_nopup_raw,0.552567237
e9_nopup_raw,0.563162184
e9_nopup_raw,0.556642217
e9_nopup_raw,0.538712307
e9_nopup_raw,0.567237164
e9_nopup_raw,0.522412388
e9_nopup_raw,0.577832111
e9_nopup_raw,0.553382233
e9_nox_raw,0.501222494
e9_nox_raw,0.481662592
e9_nox_raw,0.475142624
e9_nox_raw,0.480847596
e9_nox_raw,0.497147514
e9_nox_raw,0.489812551
e9_nox_raw,0.481662592
e9_nox_raw,0.502852486
