Sub	Image	Cond	Lat	Time	Dur	Amp	Amp1B	Amp2B	Vel	rAmp1B	rAmp2B	AbsDir180	RelDir1B180	RelDir2B180	AbsBin180	RelBin1B180	RelBin2B180
JIMP5.asc	comp-n	P	202.9565217	6092	35.47826087	7.935222952	12.74986397	14.69216477	325.3913043	-4.901353677	-7.064082723	95.20078644	109.0788774	91.83362856	95	105	90
JIMP5.asc	den-z	P	233.0526316	6052	34.94736842	7.560797902	9.482187585	10.81879791	294.4736842	-2.006934247	-3.718422217	128.0157114	109.5414274	101.5171595	125	105	100
JIMP5.asc	din2-z	P	228.6666667	6060	39.16666667	9.617007534	13.21473978	15.3489331	344.375	-4.093077292	-6.635702901	106.1334532	92.13831992	93.15324719	105	90	90
JIMP5.asc	din-n	P	227.8333333	6424	37.83333333	8.589651701	12.32421555	13.62650591	326	-4.072629624	-5.525461251	109.6532803	114.0211886	103.4933767	105	110	100
JIMP5.asc	dorm2-z	P	247.8181818	7064	40	8.621803085	11.61287638	12.02420301	317.8181818	-3.349978069	-4.394560491	118.6864226	111.7636666	98.73472595	115	110	95
JIMP5.asc	dorm-n	P	185.3846154	6096	40.15384615	9.310176929	14.61686016	15.58420189	340.8846154	-5.341898144	-6.683100436	118.9510733	108.7152179	94.65477082	115	105	90
JIMP5.asc	exer-n	P	196.6153846	6172	36.61538462	8.600550974	12.81653323	14.51880839	331.3846154	-4.263172781	-6.396009504	120.8769983	110.1104106	110.6206009	120	110	110
JIMP5.asc	fam2-n	P	229.6363636	6152	34	7.70256335	12.06433108	13.03032558	295.2727273	-4.418094568	-5.958463966	101.5978093	102.8320381	107.7481197	100	100	105
JIMP5.asc	fam3-z	P	236.6956522	6100	34.7826087	7.624364128	9.8267282	11.09699214	323.3913043	-2.632093085	-4.970682569	109.2817438	99.31945089	94.0702387	105	95	90
JIMP5.asc	fam-n	P	230.8333333	6316	30.83333333	6.306140522	9.476791387	11.79540867	279.8333333	-3.477455476	-6.148820156	110.2102837	110.0892739	116.1323369	110	110	115
JIMP5.asc	fanc-n	P	223.8333333	6056	35.5	7.660090167	11.48918771	12.74429702	305.3333333	-4.242044308	-5.662465254	117.0408916	110.6423073	112.3531454	115	110	110
JIMP5.asc	fish-z	P	209.6666667	6044	37.33333333	8.952592754	12.63151881	13.03175629	334.1666667	-3.714827406	-4.450947677	104.3253073	105.2713445	78.06247541	100	105	75
